"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","302754.755","298273.759","295112.129","303612.825","312162.962","327432.979","340066.748","356569.211","365684.55","351066.361","355937.086","393139.914","404205.735","426375.362","457593.677","458471.686","465449.748","486211.076","519307.831","501936.088","529668.977","521770.031","543423.017","565438.314","587672.097","574023.674","578507.112","587497.391","590061.52","603054.006","","","",
"Afghanistan","AFG","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2378.97","2233.77","1387.77","1341.29","1289.89","1240.29","1175.7","1098.2","1040","813.3","760.22","734.838","1033.63","1218.707","1034.607","1552.011","1764.18","1771.41","3564.64","4877.97","7106.15","8928.59","8079.43","5987.05","4879.64","5946.69","5303.53","4782.88","6066.78","6075.23","","","",
"Africa Western and Central","AFW","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96958.422","110387.006","121522.69","114940.512","106142.725","116125.793","134163.773","134201.266","129127.535","131685.704","141732.996","149453.38","141648.65","150979.137","150974.4","155282.68","148880.23","142609.18","151363.46","146732.95","165504.74","171784.795","177948.88","193293.14","201660.087","198383.06","206028.42","204742.16","211707.05","220732.65","","","",
"Angola","AGO","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6564.2","6674.6","6877.3","9269.8","11298.33","12719.68","15442.5","16155.1","16768.1","17613.42","16204.36","15956","15689.7","16764.9","17453.7","15811.4","16558.7","16966.5","19275.4","21145.1","22801.6","23865.9","23868.1","26958.8","29629.8","31649","29764.9","24247.2","23957.1","25212.9","","","",
"Albania","ALB","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5984.6","4057.6","2217.33","2056.08","2073.5","1928.51","1943.71","1467.7","1793.91","2974.32","3166.09","3234.2","3761.9","4065.8","4249.3","4033.4","4014.6","4138.3","4084.7","4215.6","4449.7","4852.7","4359.2","4435.8","4820.4","4620.1","4477.1","5144.8","5107","4829.2","","","",
"Andorra","AND","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","406.704","406.704","406.704","410.368","406.704","425.024","454.336","465.328","490.976","512.96","523.952","523.952","531.28","534.944","560.592","575.248","545.936","538.608","538.608","516.624","516.624","490.976","487.312","476.32","461.664","465.328","468.992","465.328","494.64","501.848","","","",
"Arab World","ARB","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632434.47","634609.889","688901.78","741737.04","786080.84","810077.17","838761.58","879676.58","884569.56","896399.4","933754.74","985326.85","1018866.88","1049656.31","1106155.3","1181610.3","1244545.85","1295588.9","1399901.26","1446949.8","1532866","1565758","1674052.5","1703920.29","1761731.57","1807587.05","1827972.85","1847736.22","1826262.12","1875283.52","","","",
"United Arab Emirates","ARE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55211.8","61564.8","59703.9","63621.9","70781.9","75169","78530.8","81443","83451.3","85681.5","84730.9","97198.1","99147.7","103822","110008.8","116455.1","121563.8","131832.9","156045.6","157021","162790.1","165601.3","175594.4","184470.2","184764.4","195243.1","201080.8","197036.6","177124.3","188858.6","","","",
"Argentina","ARG","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100323.4","105915","107929.3","110262.5","111913.7","112892.2","122550","126122.9","132673.2","134505.6","132268.3","125258.1","117465","127656","141375.9","145992","154903.7","162806.1","167225.2","156566.2","167225","176638.1","177960","183250.4","179598.2","185547.3","183158.1","179323.9","176895.3","168095.3","","","",
"Armenia","ARM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19845.2","20689.6","10895.2","5039.3","2736.51","3507.2","2577","3340.7","3470.6","3112.3","3561","3602","3118.7","3495.4","3763.8","4460.9","4489.2","5204.4","5685.5","4510.8","4336.6","4937.1","5716.5","5501.5","5479","5343.4","5066.7","5371.3","5712.2","6169.6","","","",
"American Samoa","ASM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212.8","216.3","287.3","254.7","251.6","269.2","278.2","294.5","323.8","326.8","328.8","351.3","389.1","405.9","395.4","406.4","438.7","459.7","476","1394.3","490.4","537.5","696.9","473.5","477.2","491","501.3","501.2","509.8","516.1","","","",
